Shaknspin W&F meter
Session:;trchnics 1500.CSV
Device:;6985321910C4EB9E-058
Avg Speed:;33.385
Avg Speed Dev:;00.17%
Var. Min:;33.31
Var. Max:;33.46
Var. Min%:;-0.235%
Var. Max%:;+0.233%
HighPass Min:;33.31
HighPass Max:;33.47
W&F peak:;0.097
W&F peak 2s:;0.088
W&F DIN:;0.035
W&F WRMS:;0.007
W&F RMS:;0.02
Jitter%:;0.230
Wow:;0.05
Flutter:;0.02
Freq1 (Hz):;00.610
Freq2 (Hz):;03.662

Speed trace (de-noised) in 2mS intervals
Frequency in Hz

Time;Speed;Freq;Magnitude
2586;33.409
2588;33.4
2590;33.385
2592;33.374
2594;33.394
2596;33.397
2598;33.42
2600;33.412
2602;33.393
2604;33.396
2606;33.39
2608;33.398
2610;33.425
2612;33.409
2614;33.393
2616;33.393
2618;33.394
2620;33.381
2622;33.401
2624;33.394
2626;33.4
2628;33.381
2630;33.368
2632;33.352
2634;33.394
2636;33.426
2638;33.425
2640;33.393
2642;33.425
2644;33.398
2646;33.394
2648;33.388
2650;33.394
2652;33.4
2654;33.391
2656;33.401
2658;33.431
2660;33.387
2662;33.363
2664;33.407
2666;33.378
2668;33.396
2670;33.387
2672;33.384
2674;33.394
2676;33.398
2678;33.403
2680;33.398
2682;33.403
2684;33.409
2686;33.377
2688;33.381
2690;33.365
2692;33.35
2694;33.375
2696;33.384
2698;33.36
2700;33.375
2702;33.417
2704;33.42
2706;33.391
2708;33.363
2710;33.384
2712;33.369
2714;33.366
2716;33.401
2718;33.347
2720;33.353
2722;33.397
2724;33.393
2726;33.391
2728;33.368
2730;33.404
2732;33.391
2734;33.384
2736;33.359
2738;33.393
2740;33.422
2742;33.409
2744;33.387
2746;33.388
2748;33.393
2750;33.404
2752;33.369
2754;33.412
2756;33.419
2758;33.404
2760;33.4
2762;33.388
2764;33.417
2766;33.404
2768;33.381
2770;33.358
2772;33.379
2774;33.375
2776;33.36
2778;33.387
2780;33.393
2782;33.4
2784;33.404
2786;33.404
2788;33.416
2790;33.406
2792;33.404
2794;33.377
2796;33.363
2798;33.365
2800;33.355
2802;33.371
2804;33.401
2806;33.403
2808;33.396
2810;33.375
2812;33.387
2814;33.406
2816;33.39
2818;33.398
2820;33.372
2822;33.381
2824;33.416
2826;33.394
2828;33.377
2830;33.369
2832;33.382
2834;33.397
2836;33.382
2838;33.366
2840;33.4
